GD1,SL1,SL2,GJ1,Poisson's Ratio,Initial Inner Friction Angle (degree) ,Initial Cohesion (MPa) ,Dilatancy Angle (degree) ,Young's Modulus (GPa) 
-3.915892296,-1.093686669,-2.251288238,-3.120037967,0.352285714,28.37142857,0.406428571,2.757142857,0.583571429
-0.468029997,-0.06302676,-0.079238125,-0.413617947,0.398571429,26.94285714,0.475,8.471428571,16.12785714
-1.340976251,-0.469650031,-0.84148651,-1.032095684,0.300857143,24.48571429,0.389285714,3.528571429,4.539285714
-0.948725164,-0.188924616,-0.317979614,-0.813921238,0.376285714,22.14285714,0.213571429,7.957142857,7.102142857
-2.759241442,-0.85072491,-1.631967796,-2.177677547,0.304857143,30.14285714,0.237857143,4.185714286,1.252142857
-2.305267203,0.22249142,0.492366678,-2.42548378,0.486571429,27.4,0.195,6.557142857,2.923571429
-1.163733828,-0.247079755,-0.430047381,-0.990795463,0.368857143,28.2,0.317857143,7.442857143,5.486428571
-0.393970606,0.151982392,0.350609361,-0.471720529,0.486,25.57142857,0.459285714,6.328571429,18.46785714
-0.589347755,-0.228836969,-0.390803741,-0.434673037,0.320857143,38.54285714,0.136428571,2.528571429,13.67642857
-0.485482232,-0.208988683,-0.354566425,-0.343728908,0.311714286,34.77142857,0.362142857,2.3,17.68785714
-2.796206577,-0.678981773,-1.309950005,-2.321893721,0.342,39.05714286,0.200714286,8.957142857,1.419285714
-0.639481502,-0.259005987,-0.446802754,-0.466235866,0.311142857,36.42857143,0.290714286,0.185714286,12.50642857
-0.440311811,-0.149739413,-0.243796127,-0.334252634,0.345428571,23.17142857,0.329285714,4.242857143,18.80214286
-1.056186205,-0.101249989,-0.154121991,-0.973573047,0.408857143,36.82857143,0.040714286,8.928571429,6.210714286
-0.809340382,-0.257676219,-0.444360111,-0.63495266,0.336857143,23.97142857,0.432142857,0.242857143,8.940714286
-0.487566353,0.057525192,0.156532617,-0.506798259,0.448857143,27.51428571,0.422142857,3.9,14.735
-1.370450309,0.013184686,0.06385259,-1.3564073,0.443714286,22.71428571,0.097857143,2.157142857,4.706428571
-0.512725582,-0.080740905,-0.112589667,-0.447438581,0.392857143,31.45714286,0.209285714,3.328571429,14.62357143
-0.698191751,-0.283174827,-0.49152126,-0.509845521,0.307142857,23.45714286,0.277857143,3.442857143,11.225
-0.758066391,-0.305834158,-0.533435716,-0.555489195,0.304285714,36.77142857,0.427857143,8.642857143,10.11071429
-0.724555657,-0.223535123,-0.380622776,-0.571605072,0.343714286,30.88571429,0.483571429,0.471428571,10.22214286
-1.564674011,0.037113705,0.108812866,-1.564169897,0.451142857,21.91428571,0.323571429,2.785714286,4.093571429
-1.282677427,0.269171216,0.602751417,-1.441338678,0.491714286,32.82857143,0.487857143,9.642857143,5.542142857
-0.63137805,-0.248463612,-0.427190553,-0.464524296,0.316285714,22.82857143,0.053571429,9.757142857,12.61785714
-0.722839179,-0.049029116,-0.051162458,-0.675565624,0.414571429,21.57142857,0.119285714,5.928571429,9.665
-0.400278481,-0.06626808,-0.086383888,-0.344150511,0.392285714,31.4,0.326428571,9.157142857,19.47071429
-0.375961775,0.034210928,0.108067084,-0.380243971,0.441428571,27.05714286,0.320714286,5.3,19.63785714
-0.568066234,-0.051825357,-0.056867464,-0.520006242,0.408285714,39.57142857,0.495,3.842857143,12.785
-0.62396006,0.225153726,0.510221103,-0.752525661,0.494,24.88571429,0.160714286,6.128571429,11.615
-3.474099188,-0.900566669,-1.799468313,-2.832393328,0.342571429,28.02857143,0.190714286,0.985714286,0.862142857
-1.488508753,-0.052149715,-0.067188471,-1.431379723,0.431714286,39.17142857,0.343571429,9.671428571,4.205
-0.415174986,0.043967506,0.128284723,-0.42568346,0.444857143,21.51428571,0.496428571,0.614285714,17.57642857
-1.018063727,-0.254638551,-0.441150023,-0.842735096,0.356857143,32.77142857,0.147857143,5.471428571,6.545
-2.844308121,-0.053690084,-0.100493953,-2.769340074,0.453428571,30.08571429,0.070714286,9.042857143,2.032142857
-0.487669408,-0.16579526,-0.273498034,-0.371631667,0.343142857,31.17142857,0.435,8.728571429,16.685
-0.83961345,-0.285247102,-0.495560792,-0.648358266,0.327142857,21.28571429,0.420714286,9.328571429,8.606428571
-0.665650573,0.142795992,0.332448587,-0.739639412,0.471714286,20.08571429,0.376428571,4.5,10.61214286
-1.065849468,0.143747019,0.333079183,-1.139467613,0.468857143,22.02857143,0.429285714,4.614285714,6.433571429
-0.421743355,-0.09166162,-0.134366681,-0.350380382,0.379714286,27.97142857,0.319285714,8.185714286,18.69071429
-1.588059639,0.296917539,0.663226091,-1.765362737,0.495142857,22.54285714,0.026428571,6.585714286,4.483571429
-0.473622151,-0.102924247,-0.15510147,-0.395236442,0.378571429,32.37142857,0.485,3.614285714,16.35071429
-0.916175834,-0.231853424,-0.397468423,-0.755921866,0.358,38.65714286,0.113571429,6.928571429,7.492142857
-0.526863156,-0.042492927,-0.039224072,-0.484653437,0.410571429,36.6,0.172142857,8.385714286,13.89928571
-1.462538509,-0.457766429,-0.824185678,-1.158255969,0.316857143,35.74285714,0.143571429,2.014285714,3.982142857
-1.969224073,-0.071671255,-0.116367601,-1.893430173,0.436857143,27.68571429,0.150714286,1.728571429,3.035
-0.868215917,-0.071608897,-0.095265328,-0.80584928,0.411714286,32.48571429,0.112142857,2.928571429,7.826428571
-0.443576672,0.097770323,0.237534244,-0.487685922,0.464285714,39.34285714,0.109285714,1.671428571,16.23928571
-1.964017677,-0.220132891,-0.403963812,-1.794171399,0.407142857,22.42857143,0.445,3.042857143,2.867857143
-0.468469815,-0.179447973,-0.299318555,-0.344479622,0.33,24.65714286,0.130714286,0.357142857,17.91071429
