number,value,datetime_start,datetime_complete,duration,params_d_model,params_lr,params_nhead,params_num_layers,params_weight_decay,state
0,0.03169972077012062,2025-07-31 11:34:52.370533,2025-07-31 11:34:57.813824,0 days 00:00:05.443291,256,0.0003667621164430947,4,4,9.861651882125389e-07,COMPLETE
1,0.04017684579936459,2025-07-31 11:34:57.813824,2025-07-31 11:34:59.261197,0 days 00:00:01.447373,128,8.941815933090027e-05,1,1,3.952851313085053e-07,COMPLETE
2,0.01727192383259535,2025-07-31 11:34:59.261197,2025-07-31 11:35:02.876740,0 days 00:00:03.615543,256,0.0003497973043756731,1,4,1.320821411508229e-07,COMPLETE
3,0.16367618942304568,2025-07-31 11:35:02.876740,2025-07-31 11:35:04.670130,0 days 00:00:01.793390,128,1.915952926061176e-05,1,2,2.714875432208703e-07,COMPLETE
4,0.09361765330986065,2025-07-31 11:35:04.670130,2025-07-31 11:35:06.634065,0 days 00:00:01.963935,256,1.28194887678965e-05,4,2,2.5650358638769482e-08,COMPLETE
5,0.04430210086352685,2025-07-31 11:35:06.635156,2025-07-31 11:35:09.048146,0 days 00:00:02.412990,64,0.0004255391897911783,4,3,3.655199829503638e-05,COMPLETE
6,0.03847137331853018,2025-07-31 11:35:09.048146,2025-07-31 11:35:12.545284,0 days 00:00:03.497138,128,6.246480622494929e-05,1,4,5.815306740322004e-08,COMPLETE
7,0.020176298313719386,2025-07-31 11:35:12.545284,2025-07-31 11:35:14.177972,0 days 00:00:01.632688,256,5.181922767892622e-05,4,1,7.961231709962136e-08,COMPLETE
8,0.018936795949497643,2025-07-31 11:35:14.177972,2025-07-31 11:35:16.525281,0 days 00:00:02.347309,256,0.0007243071058538372,2,2,7.5753973535882444e-06,COMPLETE
9,0.018978126347064972,2025-07-31 11:35:16.525281,2025-07-31 11:35:17.926989,0 days 00:00:01.401708,64,0.0002493043555150099,1,1,1.6485578601482125e-07,COMPLETE
10,0.011633649865603623,2025-07-31 11:35:17.926989,2025-07-31 11:35:20.892995,0 days 00:00:02.966006,256,0.00019295679097070583,2,3,1.0362978031815315e-08,COMPLETE
11,0.007056403727106312,2025-07-31 11:35:20.892995,2025-07-31 11:35:24.190494,0 days 00:00:03.297499,256,0.00017687049804059006,2,3,1.3871885979501776e-08,COMPLETE
12,0.006150093258303755,2025-07-31 11:35:24.190494,2025-07-31 11:35:27.404996,0 days 00:00:03.214502,256,0.00015988850122020112,2,3,1.5040368490072616e-08,COMPLETE
13,0.014177239636945374,2025-07-31 11:35:27.404996,2025-07-31 11:35:30.544860,0 days 00:00:03.139864,256,0.00014566887629718732,2,3,2.5128516832019322e-08,COMPLETE
14,0.013274175635374644,2025-07-31 11:35:30.544860,2025-07-31 11:35:33.594082,0 days 00:00:03.049222,256,3.782093087586631e-05,2,3,1.1201737065336757e-08,COMPLETE
